Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	SignalP_secretion_signal
Q#349 - WP_097263200.1	specific	200456	41	392	7.79391e-142	417.349	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#349 - WP_097263200.1	specific	99883	596	688	4.4468e-37	133.644	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#349 - WP_097263200.1	superfamily	449530	494	587	9.786040000000001e-32	118.621	cl15347	CBM20 superfamily	 - 	 - 	Yes
Q#349 - WP_097263200.1	specific	214749	399	473	9.26939e-13	64.1813	smart00632	Aamy_C	 - 	cl02706	Yes
Q#350 - WP_372498447.1	superfamily	273974	42	876	0.0	983.932	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#351 - WP_030807771.1	specific	200456	33	374	6.02201e-175	493.234	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#351 - WP_030807771.1	specific	214749	381	454	1.15756e-27	105.012	smart00632	Aamy_C	 - 	cl02706	Yes
Q#352 - WP_030856342.1	specific	200456	46	393	7.127400000000001e-161	466.27	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#352 - WP_030856342.1	specific	99883	598	690	6.72905e-45	155.215	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#352 - WP_030856342.1	specific	214749	399	484	3.5518799999999997e-31	116.568	smart00632	Aamy_C	 - 	cl02706	Yes
Q#352 - WP_030856342.1	specific	367491	493	589	3.3218999999999996e-21	88.697	pfam03423	CBM_25	 - 	cl23798	Yes
Q#353 - WP_189850300.1	specific	200456	34	375	2.22356e-169	483.604	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#353 - WP_189850300.1	specific	99883	482	573	2.6070699999999998e-49	165.615	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#353 - WP_189850300.1	specific	214749	381	456	4.50062e-30	112.716	smart00632	Aamy_C	 - 	cl02706	Yes
Q#354 - WP_032776271.1	specific	200456	39	380	3.65031e-175	498.241	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#354 - WP_032776271.1	specific	99883	481	576	3.19018e-43	149.437	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#354 - WP_032776271.1	specific	214749	386	462	5.076089999999999e-31	115.413	smart00632	Aamy_C	 - 	cl02706	Yes
Q#355 - WP_079176375.1	specific	200456	36	377	4.55041e-177	498.626	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#355 - WP_079176375.1	specific	214749	384	457	4.10117e-28	106.553	smart00632	Aamy_C	 - 	cl02706	Yes
Q#356 - WP_030654723.1	specific	200456	39	385	1.0204600000000001e-161	463.958	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#356 - WP_030654723.1	specific	99883	479	571	2.50456e-44	152.133	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#356 - WP_030654723.1	specific	214749	392	467	1.0093099999999999e-31	117.339	smart00632	Aamy_C	 - 	cl02706	Yes
Q#357 - WP_125819089.1	superfamily	273974	954	1803	0.0	987.784	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#357 - WP_125819089.1	specific	200478	48	522	2.1269700000000002e-141	441.307	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#357 - WP_125819089.1	specific	461022	741	833	3.66363e-31	118.242	pfam03714	PUD	 - 	cl47835	Yes
Q#357 - WP_125819089.1	specific	199215	849	941	3.88862e-30	115.507	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#358 - WP_064455462.1	specific	200456	34	375	3.52527e-160	459.721	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#358 - WP_064455462.1	specific	99883	470	564	5.05882e-44	151.363	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#358 - WP_064455462.1	specific	214749	381	457	3.3470199999999998e-25	99.2344	smart00632	Aamy_C	 - 	cl02706	Yes
Q#359 - WP_151788360.1	specific	200478	358	895	1.30384e-120	371.971	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#359 - WP_151788360.1	specific	367491	147	248	2.71439e-43	152.255	pfam03423	CBM_25	 - 	cl23798	Yes
Q#359 - WP_151788360.1	specific	367491	46	137	1.1892499999999998e-20	87.9266	pfam03423	CBM_25	 - 	cl23798	Yes
Q#359 - WP_151788360.1	superfamily	476817	399	635	3.38078e-14	76.2436	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#359 - WP_151788360.1	superfamily	442628	248	434	1.96633e-09	61.5568	cl27307	FN3 superfamily	N	 - 	Yes
Q#360 - WP_051804351.1	superfamily	273974	915	1769	0.0	1023.22	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#360 - WP_051804351.1	specific	200478	56	518	4.62505e-138	432.062	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#360 - WP_051804351.1	specific	199215	810	901	1.73826e-29	113.581	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#360 - WP_051804351.1	specific	199215	716	800	3.91545e-16	75.4465	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#360 - WP_051804351.1	superfamily	476817	146	307	8.17818e-05	47.1044	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#361 - WP_030794149.1	specific	200456	34	375	4.40047e-164	469.736	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#361 - WP_030794149.1	specific	99883	471	565	5.88636e-46	156.37	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#361 - WP_030794149.1	specific	214749	381	457	5.38461e-32	118.109	smart00632	Aamy_C	 - 	cl02706	Yes
Q#362 - WP_077796409.1	specific	200478	356	893	1.59422e-120	371.586	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#362 - WP_077796409.1	specific	367491	142	246	2.6407e-39	141.084	pfam03423	CBM_25	 - 	cl23798	Yes
Q#362 - WP_077796409.1	superfamily	476817	397	633	6.94904e-22	99.1939	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#362 - WP_077796409.1	specific	367491	46	138	1.2703e-20	87.5414	pfam03423	CBM_25	 - 	cl23798	Yes
Q#362 - WP_077796409.1	superfamily	442628	147	348	5.39122e-07	53.4676	cl27307	FN3 superfamily	NC	 - 	Yes
Q#363 - WP_241670593.1(Warning: this sequence record may be obsolete or preliminary)	superfamily	273974	951	1805	0.0	998.955	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#363 - WP_241670593.1(Warning: this sequence record may be obsolete or preliminary)	specific	200478	68	532	1.82207e-135	425.129	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#363 - WP_241670593.1(Warning: this sequence record may be obsolete or preliminary)	specific	199215	736	835	1.97557e-32	122.056	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#363 - WP_241670593.1(Warning: this sequence record may be obsolete or preliminary)	specific	199215	845	937	4.9090600000000004e-29	112.426	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#363 - WP_241670593.1(Warning: this sequence record may be obsolete or preliminary)	specific	214749	546	618	0.00136612	39.1433	smart00632	Aamy_C	 - 	cl02706	Yes
Q#364 - WP_030791454.1	specific	200456	33	374	1.91845e-174	491.693	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#364 - WP_030791454.1	specific	214749	380	439	8.26966e-22	88.834	smart00632	Aamy_C	C	cl02706	Yes
Q#365 - WP_099963975.1	superfamily	273974	967	1815	0.0	1020.91	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#365 - WP_099963975.1	specific	200478	64	543	2.10015e-145	452.478	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#365 - WP_099963975.1	specific	461022	748	844	7.65075e-31	117.472	pfam03714	PUD	 - 	cl47835	Yes
Q#365 - WP_099963975.1	specific	199215	858	950	8.037380000000001e-29	111.655	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#365 - WP_099963975.1	specific	214749	552	630	0.000301361	41.0693	smart00632	Aamy_C	 - 	cl02706	Yes
Q#366 - WP_152371297.1	specific	200478	361	898	2.38455e-123	379.29	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#366 - WP_152371297.1	specific	367491	152	251	3.98444e-33	123.365	pfam03423	CBM_25	 - 	cl23798	Yes
Q#366 - WP_152371297.1	specific	367491	47	146	2.76945e-23	95.2454	pfam03423	CBM_25	 - 	cl23798	Yes
Q#366 - WP_152371297.1	superfamily	476817	402	638	3.17322e-17	85.2009	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#366 - WP_152371297.1	superfamily	442628	247	365	4.93793e-15	79.6612	cl27307	FN3 superfamily	NC	 - 	Yes
Q#367 - WP_015033094.1	specific	200456	35	376	7.53055e-171	487.07	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#367 - WP_015033094.1	specific	99883	479	570	1.21113e-48	163.689	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#367 - WP_015033094.1	specific	214749	382	458	4.84433e-30	112.716	smart00632	Aamy_C	 - 	cl02706	Yes
Q#368 - WP_030279556.1	specific	200456	46	378	2.54469e-150	430.831	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#368 - WP_030279556.1	specific	214749	384	467	6.71079e-30	111.176	smart00632	Aamy_C	 - 	cl02706	Yes
Q#369 - WP_062667522.1	superfamily	273974	947	1801	0.0	1016.29	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#369 - WP_062667522.1	specific	200478	61	527	1.53002e-145	452.863	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#369 - WP_062667522.1	specific	461022	732	828	1.24706e-33	125.176	pfam03714	PUD	 - 	cl47835	Yes
Q#369 - WP_062667522.1	specific	461022	842	934	2.7047900000000002e-30	115.931	pfam03714	PUD	 - 	cl47835	Yes
Q#369 - WP_062667522.1	specific	426991	546	616	0.00114401	40.0154	pfam02806	Alpha-amylase_C	 - 	cl02706	Yes
Q#370 - WP_102909061.1	specific	200456	32	373	7.273440000000001e-176	495.545	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#370 - WP_102909061.1	specific	214749	379	453	1.55142e-26	101.931	smart00632	Aamy_C	 - 	cl02706	Yes
Q#371 - WP_077796428.1	specific	200456	34	374	1.0717000000000002e-161	463.573	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#371 - WP_077796428.1	specific	99883	473	567	2.21105e-42	147.126	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#371 - WP_077796428.1	specific	214749	380	456	7.25301e-31	115.028	smart00632	Aamy_C	 - 	cl02706	Yes
Q#372 - WP_012382069.1	specific	200478	370	907	7.49934e-116	360.03	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#372 - WP_012382069.1	specific	367491	159	260	1.26307e-32	121.824	pfam03423	CBM_25	 - 	cl23798	Yes
Q#372 - WP_012382069.1	specific	198134	54	129	1.00584e-19	84.33	smart01066	CBM_25	 - 	cl23798	Yes
Q#372 - WP_012382069.1	superfamily	182849	411	642	1.64161e-13	74.3995	cl32612	PRK10933 superfamily	C	 - 	Yes
Q#372 - WP_012382069.1	superfamily	442628	103	362	2.52553e-11	67.72	cl27307	FN3 superfamily	C	 - 	Yes
Q#373 - WP_037702955.1	specific	200478	57	523	6.7693e-151	454.789	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#373 - WP_037702955.1	specific	465594	944	1058	1.2058399999999999e-37	136.596	pfam17967	Pullulanase_N2	 - 	cl40248	Yes
Q#373 - WP_037702955.1	specific	461022	728	824	1.56053e-31	118.628	pfam03714	PUD	 - 	cl47835	Yes
Q#373 - WP_037702955.1	specific	461022	836	928	1.10934e-29	113.62	pfam03714	PUD	 - 	cl47835	Yes
Q#373 - WP_037702955.1	superfamily	475140	1068	1128	1.53732e-15	72.9606	cl28984	E_set superfamily	C	 - 	Yes
Q#373 - WP_037702955.1	specific	214749	532	609	4.53273e-07	48.3881	smart00632	Aamy_C	 - 	cl02706	Yes
Q#373 - WP_037702955.1	specific	436171	625	688	0.00659722	36.4325	pfam17957	Big_7	 - 	cl40243	Yes
Q#374 - WP_190898224.1	superfamily	273974	945	1796	0.0	1012.44	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#374 - WP_190898224.1	specific	200478	61	527	3.99002e-144	448.626	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#374 - WP_190898224.1	specific	199215	731	830	6.03713e-35	129.374	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#374 - WP_190898224.1	specific	199215	839	932	7.5746e-30	114.737	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#374 - WP_190898224.1	specific	426991	542	617	0.000687526	40.4006	pfam02806	Alpha-amylase_C	 - 	cl02706	Yes
Q#375 - WP_093723295.1	specific	200478	359	896	3.19891e-122	376.208	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#375 - WP_093723295.1	specific	367491	147	249	2.41278e-36	132.61	pfam03423	CBM_25	 - 	cl23798	Yes
Q#375 - WP_093723295.1	specific	367491	44	141	1.34512e-25	101.794	pfam03423	CBM_25	 - 	cl23798	Yes
Q#375 - WP_093723295.1	superfamily	476817	400	636	7.29085e-15	77.8821	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#375 - WP_093723295.1	specific	238020	254	341	6.26447e-11	59.8175	cd00063	FN3	 - 	cl21522	Yes
Q#376 - WP_129296754.1	superfamily	273974	53	889	0.0	936.167	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#377 - WP_159685570.1	specific	200456	34	375	9.55351e-169	481.678	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#377 - WP_159685570.1	specific	99883	471	565	4.25296e-48	162.148	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#377 - WP_159685570.1	specific	214749	381	457	5.22458e-29	109.635	smart00632	Aamy_C	 - 	cl02706	Yes
Q#378 - WP_043373686.1	specific	200456	32	373	1.5247199999999998e-173	489.382	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#378 - WP_043373686.1	specific	214749	379	453	8.035610000000001e-28	105.398	smart00632	Aamy_C	 - 	cl02706	Yes
Q#379 - WP_088801190.1	specific	200456	37	368	5.38859e-155	442.387	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#379 - WP_088801190.1	specific	214749	374	454	5.987e-28	105.783	smart00632	Aamy_C	 - 	cl02706	Yes
Q#380 - WP_033200882.1	specific	200478	360	897	1.8773700000000001e-121	374.282	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#380 - WP_033200882.1	specific	367491	150	250	4.93587e-34	126.061	pfam03423	CBM_25	 - 	cl23798	Yes
Q#380 - WP_033200882.1	specific	367491	46	145	2.32252e-23	95.6306	pfam03423	CBM_25	 - 	cl23798	Yes
Q#380 - WP_033200882.1	superfamily	476817	401	637	3.58569e-16	82.1193	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#380 - WP_033200882.1	specific	214495	255	329	6.68767e-08	50.6909	smart00060	FN3	 - 	cl21522	Yes
Q#381 - WP_046914270.1	specific	200456	35	376	8.12722e-160	454.714	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#381 - WP_046914270.1	specific	214749	382	456	2.2755600000000002e-28	106.938	smart00632	Aamy_C	 - 	cl02706	Yes
Q#382 - WP_200682427.1	specific	200456	34	375	1.49498e-164	466.655	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#382 - WP_200682427.1	specific	214749	381	457	8.35922e-28	105.398	smart00632	Aamy_C	 - 	cl02706	Yes
Q#383 - WP_006130106.1	specific	200456	32	373	0.0	509.027	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#383 - WP_006130106.1	specific	214749	379	453	1.6575800000000002e-29	110.02	smart00632	Aamy_C	 - 	cl02706	Yes
Q#384 - WP_093767897.1	superfamily	273974	949	1799	0.0	988.555	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#384 - WP_093767897.1	specific	200478	61	530	8.971559999999999e-147	455.945	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#384 - WP_093767897.1	specific	199215	735	834	2.4294000000000004e-35	130.145	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#384 - WP_093767897.1	specific	199215	843	936	1.8765799999999999e-31	119.359	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#384 - WP_093767897.1	specific	426991	544	620	0.000102752	42.7118	pfam02806	Alpha-amylase_C	 - 	cl02706	Yes
Q#385 - WP_245661240.1	specific	200456	37	374	9.215270000000001e-142	409.26	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#385 - WP_245661240.1	specific	214749	380	463	1.91151e-27	104.627	smart00632	Aamy_C	 - 	cl02706	Yes
Q#386 - WP_161374359.1	superfamily	273974	906	1760	0.0	1002.42	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#386 - WP_161374359.1	specific	200478	49	509	2.70958e-145	451.707	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#386 - WP_161374359.1	specific	199215	801	894	1.3418e-28	110.885	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#386 - WP_161374359.1	specific	199215	706	792	8.20808e-17	77.3725	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#387 - WP_189749984.1	superfamily	273974	948	1802	0.0	1008.97	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#387 - WP_189749984.1	specific	200478	61	530	1.99035e-145	452.478	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#387 - WP_189749984.1	specific	199215	734	833	2.59479e-33	124.367	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#387 - WP_189749984.1	specific	199215	842	934	9.428060000000001e-32	120.13	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#387 - WP_189749984.1	specific	214749	539	617	0.00225077	38.7581	smart00632	Aamy_C	 - 	cl02706	Yes
Q#388 - WP_100452970.1	specific	200456	34	375	1.84962e-172	490.922	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#388 - WP_100452970.1	specific	99883	472	565	1.92216e-44	152.518	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#388 - WP_100452970.1	specific	214749	381	457	2.20221e-29	110.79	smart00632	Aamy_C	 - 	cl02706	Yes
Q#389 - WP_141297023.1	specific	200478	367	904	1.2154499999999998e-125	385.453	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#389 - WP_141297023.1	specific	367491	160	257	3.977240000000001e-34	126.061	pfam03423	CBM_25	 - 	cl23798	Yes
Q#389 - WP_141297023.1	specific	367491	47	142	4.18895e-24	97.5566	pfam03423	CBM_25	 - 	cl23798	Yes
Q#389 - WP_141297023.1	superfamily	476817	408	644	3.6397700000000005e-18	88.2825	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#389 - WP_141297023.1	specific	238020	262	336	1.42883e-06	47.4911	cd00063	FN3	 - 	cl21522	Yes
Q#390 - WP_081523693.1	specific	200456	42	388	3.30516e-170	485.53	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#390 - WP_081523693.1	specific	99883	480	574	1.3050499999999998e-45	155.6	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#390 - WP_081523693.1	specific	214749	394	453	3.69957e-23	93.4564	smart00632	Aamy_C	C	cl02706	Yes
Q#391 - WP_208031883.1	specific	200456	33	374	1.36173e-175	494.774	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#391 - WP_208031883.1	specific	214749	380	454	5.40386e-28	106.168	smart00632	Aamy_C	 - 	cl02706	Yes
Q#392 - WP_033265437.1	specific	200456	37	368	5.0422e-156	445.084	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#392 - WP_033265437.1	specific	214749	374	454	4.6454100000000004e-29	108.864	smart00632	Aamy_C	 - 	cl02706	Yes
Q#393 - WP_206187787.1	specific	200478	64	533	2.86046e-152	445.929	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#393 - WP_206187787.1	specific	214749	547	620	3.9262e-05	42.6101	smart00632	Aamy_C	 - 	cl02706	Yes
Q#394 - WP_030019839.1	specific	200456	44	385	5.75959e-176	496.315	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#394 - WP_030019839.1	specific	214749	391	467	3.3028299999999997e-31	115.028	smart00632	Aamy_C	 - 	cl02706	Yes
Q#395 - WP_173310736.1	superfamily	273975	254	836	1.2978000000000001e-155	468.72	cl37056	pulA_typeI superfamily	 - 	 - 	Yes
Q#395 - WP_173310736.1	specific	240568	45	140	5.361089999999999e-38	136.605	cd12962	X25_BaPul_like	 - 	cl46869	Yes
Q#395 - WP_173310736.1	specific	240568	146	242	2.92106e-36	131.598	cd12962	X25_BaPul_like	 - 	cl46869	Yes
Q#396 - WP_184826970.1	specific	200478	58	519	4.59704e-130	398.165	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#396 - WP_184826970.1	specific	199215	820	916	1.44244e-26	104.722	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#396 - WP_184826970.1	specific	465594	929	1036	1.20107e-19	85.3645	pfam17967	Pullulanase_N2	 - 	cl40248	Yes
Q#396 - WP_184826970.1	superfamily	199215	722	805	3.2256e-09	55.0309	cl47018	CBM41_pullulanase superfamily	 - 	 - 	Yes
Q#396 - WP_184826970.1	specific	426991	533	608	0.00296431	38.0894	pfam02806	Alpha-amylase_C	 - 	cl02706	Yes
Q#397 - WP_159506964.1	specific	200456	37	369	8.62736e-157	447.01	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#397 - WP_159506964.1	specific	214749	375	455	1.39057e-27	105.012	smart00632	Aamy_C	 - 	cl02706	Yes
Q#398 - WP_190095563.1	superfamily	273974	949	1799	0.0	1015.9	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#398 - WP_190095563.1	specific	200478	61	530	1.0964299999999999e-144	450.552	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#398 - WP_190095563.1	specific	199215	735	834	5.47713e-33	123.596	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#398 - WP_190095563.1	specific	199215	843	936	1.1103e-30	117.048	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#398 - WP_190095563.1	specific	214749	539	618	0.000260534	41.4545	smart00632	Aamy_C	 - 	cl02706	Yes
Q#399 - WP_093631823.1	specific	200456	33	374	1.84195e-176	497.086	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#399 - WP_093631823.1	specific	214749	380	456	1.48789e-26	101.931	smart00632	Aamy_C	 - 	cl02706	Yes
Q#400 - WP_045950757.1	specific	200456	39	380	1.92313e-174	496.315	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#400 - WP_045950757.1	specific	99883	474	567	6.17508e-43	148.666	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#400 - WP_045950757.1	specific	214749	386	462	8.96366e-28	106.168	smart00632	Aamy_C	 - 	cl02706	Yes
Q#401 - WP_125058162.1	specific	200456	34	375	3.40333e-159	457.41	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#401 - WP_125058162.1	specific	99883	471	565	1.96675e-42	147.126	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#401 - WP_125058162.1	specific	214749	381	457	1.06334e-31	117.339	smart00632	Aamy_C	 - 	cl02706	Yes
Q#402 - WP_212672366.1	specific	200456	38	379	9.581919999999999e-165	467.425	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#402 - WP_212672366.1	specific	214749	385	459	9.95779e-27	102.701	smart00632	Aamy_C	 - 	cl02706	Yes
Q#403 - WP_059083283.1	specific	200456	35	376	2.4630099999999997e-162	461.262	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#403 - WP_059083283.1	specific	214749	382	458	6.16226e-26	100.39	smart00632	Aamy_C	 - 	cl02706	Yes
Q#404 - WP_128430408.1	specific	200478	363	900	1.00876e-122	377.364	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#404 - WP_128430408.1	specific	367491	149	253	1.19319e-30	116.431	pfam03423	CBM_25	 - 	cl23798	Yes
Q#404 - WP_128430408.1	specific	198134	49	128	7.035470000000001e-23	93.5748	smart01066	CBM_25	 - 	cl23798	Yes
Q#404 - WP_128430408.1	superfamily	476817	404	640	4.84308e-14	75.8584	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#404 - WP_128430408.1	specific	238020	258	345	1.34347e-09	55.9655	cd00063	FN3	 - 	cl21522	Yes
Q#405 - WP_037876472.1	superfamily	273974	916	1770	0.0	973.147	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#405 - WP_037876472.1	specific	200478	53	512	4.6876e-144	448.241	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#405 - WP_037876472.1	specific	199215	812	902	7.746180000000001e-28	108.959	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#405 - WP_037876472.1	specific	199215	714	799	9.51344e-15	71.5945	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#405 - WP_037876472.1	specific	436171	612	664	0.00725959	36.8177	pfam17957	Big_7	C	cl40243	Yes
Q#406 - WP_067431372.1	specific	200456	36	377	2.36575e-162	461.262	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#406 - WP_067431372.1	specific	214749	383	457	1.8942999999999998e-28	107.324	smart00632	Aamy_C	 - 	cl02706	Yes
Q#407 - WP_246352992.1	superfamily	273974	244	1117	0.0	926.923	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#407 - WP_246352992.1	specific	240568	53	141	9.19238e-36	130.827	cd12962	X25_BaPul_like	 - 	cl46869	Yes
Q#407 - WP_246352992.1	superfamily	481209	148	225	2.16624e-15	72.6622	cl46869	X25_BaPul_like superfamily	 - 	 - 	Yes
Q#408 - WP_005310632.1	specific	200456	34	375	1.9872599999999997e-169	483.218	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#408 - WP_005310632.1	specific	99883	471	565	1.75666e-48	163.304	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#408 - WP_005310632.1	specific	214749	381	457	2.68248e-28	107.709	smart00632	Aamy_C	 - 	cl02706	Yes
Q#409 - WP_087788629.1	specific	200456	42	382	1.00348e-177	504.79	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#409 - WP_087788629.1	specific	99883	480	573	3.2372e-43	149.437	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#409 - WP_087788629.1	specific	214749	388	464	1.9138300000000002e-30	113.872	smart00632	Aamy_C	 - 	cl02706	Yes
Q#410 - WP_046421207.1	superfamily	273974	949	1803	0.0	1015.52	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#410 - WP_046421207.1	specific	200478	66	530	1.59268e-137	430.907	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#410 - WP_046421207.1	specific	199215	734	833	1.9903e-31	118.974	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
